channel_id,z,element,shell,e0_keV,s_cert_A_inv,F_s0.0,F_s0.5,F_s1.0,F_s1.5,F_s2.0,F_s2.5,F_s3.0,F_s3.5,F_s4.0,F_s4.5,F_s5.0,F_s5.5,F_s6.0,F_s6.5,F_s7.0,F_s7.5,F_s8.0,dataset_version
K_Z6,6,C,K,200.0,16.00,1.000000,0.228706,0.064658,0.018923,0.006848,0.003185,0.001744,0.001036,0.000642,0.000408,0.000266,0.000177,0.000120,0.000083,0.000058,0.000042,0.000030,5.0.0
K_Z7,7,N,K,200.0,16.00,1.000000,0.282908,0.096735,0.032718,0.012292,0.005559,0.002988,0.001796,0.001146,0.000756,0.000510,0.000350,0.000244,0.000173,0.000124,0.000090,0.000067,5.0.0
K_Z8,8,O,K,200.0,16.00,1.000000,0.334743,0.131510,0.050580,0.020323,0.009196,0.004824,0.002863,0.001842,0.001241,0.000860,0.000607,0.000434,0.000314,0.000231,0.000171,0.000128,5.0.0
K_Z9,9,F,K,200.0,16.00,1.000000,0.384550,0.167656,0.071797,0.031105,0.014444,0.007488,0.004356,0.002778,0.001883,0.001325,0.000954,0.000698,0.000516,0.000386,0.000291,0.000222,5.0.0
K_Z10,10,Ne,K,200.0,16.00,1.000000,0.432540,0.204379,0.095600,0.044537,0.021526,0.011218,0.006431,0.004036,0.002718,0.001921,0.001399,0.001040,0.000783,0.000596,0.000457,0.000354,5.0.0
K_Z11,11,Na,K,200.0,16.00,1.000000,0.488825,0.249217,0.126227,0.063020,0.031888,0.016895,0.009610,0.005923,0.003929,0.002759,0.002015,0.001511,0.001153,0.000891,0.000694,0.000545,5.0.0
K_Z12,12,Mg,K,200.0,16.00,1.000000,0.541807,0.293998,0.159127,0.084545,0.044887,0.024429,0.013957,0.008505,0.005548,0.003845,0.002793,0.002098,0.001613,0.001259,0.000993,0.000790,5.0.0
K_Z13,13,Al,K,200.0,16.00,1.000000,0.591290,0.338144,0.193487,0.108592,0.060409,0.033953,0.019679,0.011965,0.007706,0.005260,0.003778,0.002823,0.002171,0.001704,0.001356,0.001090,5.0.0
K_Z14,14,Si,K,200.0,16.00,1.000000,0.636817,0.381016,0.228476,0.134502,0.078143,0.045440,0.026889,0.016450,0.010532,0.007098,0.005029,0.003720,0.002848,0.002235,0.001786,0.001446,5.0.0
K_Z15,15,P,K,200.0,16.00,1.000000,0.678449,0.422491,0.263677,0.161812,0.097802,0.058813,0.035652,0.022086,0.014153,0.009462,0.006621,0.004839,0.003671,0.002868,0.002292,0.001861,5.0.0
K_Z16,16,S,K,200.0,16.00,1.000000,0.716224,0.462461,0.298778,0.190122,0.119079,0.073932,0.045970,0.028953,0.018677,0.012455,0.008638,0.006239,0.004681,0.003628,0.002887,0.002342,5.0.0
K_Z17,17,Cl,K,200.0,16.00,1.000000,0.750214,0.500828,0.333540,0.219098,0.141680,0.090624,0.057794,0.037091,0.024187,0.016169,0.011160,0.007985,0.005925,0.004547,0.003591,0.002903,5.0.0
K_Z18,18,Ar,K,200.0,16.00,1.000000,0.780548,0.537505,0.367779,0.248468,0.165332,0.108696,0.071038,0.046500,0.030736,0.020680,0.014267,0.010146,0.007458,0.005664,0.004433,0.003559,5.0.0
K_Z19,19,K,K,200.0,16.00,1.000000,0.808379,0.573828,0.402729,0.279174,0.190701,0.128624,0.086062,0.057472,0.038567,0.026191,0.018123,0.012851,0.009378,0.007054,0.005466,0.004351,5.0.0
K_Z20,20,Ca,K,200.0,16.00,1.000000,0.832773,0.608193,0.436875,0.309934,0.216780,0.149680,0.102390,0.069731,0.047547,0.032657,0.022732,0.016129,0.011719,0.008748,0.006715,0.005296,5.0.0
L1_Z20,20,Ca,L1,200.0,16.00,1.000000,0.298581,0.068216,0.018360,0.010751,0.007300,0.004636,0.002986,0.002066,0.001526,0.001163,0.000892,0.000681,0.000519,0.000396,0.000302,0.000232,5.0.0
L2_Z20,20,Ca,L2,200.0,16.00,1.000000,0.208432,0.043776,0.006893,0.000420,-0.000731,-0.000874,-0.000728,-0.000516,-0.000332,-0.000201,-0.000118,-0.000067,-0.000037,-0.000020,-0.000011,-0.000006,5.0.0
L3_Z20,20,Ca,L3,200.0,16.00,1.000000,0.206260,0.042552,0.006429,0.000260,-0.000795,-0.000903,-0.000742,-0.000523,-0.000336,-0.000203,-0.000119,-0.000068,-0.000038,-0.000021,-0.000011,-0.000006,5.0.0
K_Z21,21,Sc,K,200.0,16.00,1.000000,0.853505,0.639630,0.469131,0.339708,0.242656,0.171130,0.119481,0.082914,0.057457,0.039964,0.028051,0.019974,0.014498,0.010768,0.008203,0.006412,5.0.0
L1_Z21,21,Sc,L1,200.0,16.00,1.000000,0.325485,0.082041,0.021409,0.011697,0.008352,0.005569,0.003630,0.002480,0.001808,0.001376,0.001066,0.000826,0.000639,0.000493,0.000381,0.000296,5.0.0
L2_Z21,21,Sc,L2,200.0,16.00,1.000000,0.233377,0.055338,0.010061,0.001063,-0.000631,-0.000925,-0.000838,-0.000636,-0.000435,-0.000278,-0.000170,-0.000101,-0.000059,-0.000034,-0.000019,-0.000010,5.0.0
L3_Z21,21,Sc,L3,200.0,16.00,1.000000,0.230869,0.053814,0.009426,0.000830,-0.000724,-0.000968,-0.000859,-0.000647,-0.000441,-0.000281,-0.000172,-0.000102,-0.000060,-0.000034,-0.000019,-0.000011,5.0.0
K_Z22,22,Ti,K,200.0,16.00,1.000000,0.871503,0.669040,0.500313,0.369126,0.268754,0.193236,0.137498,0.097135,0.068392,0.048202,0.034165,0.024468,0.017788,0.013180,0.009983,0.007744,5.0.0
L1_Z22,22,Ti,L1,200.0,16.00,1.000000,0.351508,0.097054,0.025328,0.012655,0.009305,0.006531,0.004360,0.002967,0.002135,0.001615,0.001255,0.000984,0.000770,0.000602,0.000471,0.000369,5.0.0
L2_Z22,22,Ti,L2,200.0,16.00,1.000000,0.257807,0.067879,0.014034,0.001981,-0.000455,-0.000942,-0.000930,-0.000753,-0.000545,-0.000366,-0.000234,-0.000145,-0.000088,-0.000052,-0.000030,-0.000017,5.0.0
L3_Z22,22,Ti,L3,200.0,16.00,1.000000,0.254931,0.066022,0.013191,0.001653,-0.000588,-0.001003,-0.000961,-0.000769,-0.000553,-0.000371,-0.000237,-0.000147,-0.000089,-0.000053,-0.000031,-0.000018,5.0.0
K_Z23,23,V,K,200.0,16.00,1.000000,0.887090,0.696435,0.530357,0.398083,0.294938,0.215851,0.156312,0.112300,0.080299,0.057357,0.041089,0.029644,0.021630,0.016026,0.012098,0.009327,5.0.0
L1_Z23,23,V,L1,200.0,16.00,1.000000,0.376699,0.113022,0.030204,0.013742,0.010154,0.007483,0.005158,0.003531,0.002516,0.001885,0.001463,0.001154,0.000914,0.000723,0.000572,0.000452,5.0.0
L2_Z23,23,V,L2,200.0,16.00,1.000000,0.281755,0.081228,0.018830,0.003236,-0.000180,-0.000920,-0.001000,-0.000861,-0.000657,-0.000464,-0.000310,-0.000199,-0.000125,-0.000077,-0.000047,-0.000028,5.0.0
L3_Z23,23,V,L3,200.0,16.00,1.000000,0.278481,0.079005,0.017739,0.002787,-0.000366,-0.001006,-0.001044,-0.000885,-0.000670,-0.000471,-0.000314,-0.000202,-0.000127,-0.000079,-0.000048,-0.000029,5.0.0
K_Z24,24,Cr,K,200.0,16.00,1.000000,0.900429,0.721510,0.558774,0.426040,0.320676,0.238495,0.175516,0.128091,0.092950,0.067277,0.048734,0.035460,0.026015,0.019315,0.014564,0.011183,5.0.0
L1_Z24,24,Cr,L1,200.0,16.00,1.000000,0.397816,0.128248,0.036175,0.015361,0.010987,0.008327,0.005907,0.004087,0.002898,0.002151,0.001662,0.001315,0.001049,0.000838,0.000670,0.000535,5.0.0
L2_Z24,24,Cr,L2,200.0,16.00,1.000000,0.296458,0.090938,0.023111,0.004589,0.000189,-0.000829,-0.001011,-0.000922,-0.000739,-0.000545,-0.000379,-0.000253,-0.000164,-0.000105,-0.000066,-0.000040,5.0.0
L3_Z24,24,Cr,L3,200.0,16.00,1.000000,0.292603,0.088309,0.021763,0.004008,-0.000057,-0.000942,-0.001069,-0.000954,-0.000756,-0.000554,-0.000384,-0.000256,-0.000167,-0.000106,-0.000067,-0.000041,5.0.0
K_Z25,25,Mn,K,200.0,16.00,1.000000,0.912220,0.745318,0.586814,0.454260,0.347099,0.262102,0.195849,0.145077,0.106780,0.078295,0.057360,0.042118,0.031101,0.023174,0.017482,0.013392,5.0.0
L1_Z25,25,Mn,L1,200.0,16.00,1.000000,0.424767,0.147036,0.042940,0.016765,0.011634,0.009235,0.006863,0.004868,0.003463,0.002550,0.001955,0.001543,0.001236,0.000996,0.000803,0.000648,5.0.0
L2_Z25,25,Mn,L2,200.0,16.00,1.000000,0.328333,0.109784,0.030836,0.006975,0.000789,-0.000727,-0.001062,-0.001035,-0.000872,-0.000673,-0.000487,-0.000337,-0.000227,-0.000149,-0.000096,-0.000061,5.0.0
L3_Z25,25,Mn,L3,200.0,16.00,1.000000,0.324158,0.106730,0.029131,0.006187,0.000443,-0.000888,-0.001146,-0.001082,-0.000899,-0.000688,-0.000496,-0.000343,-0.000230,-0.000152,-0.000098,-0.000063,5.0.0
K_Z26,26,Fe,K,200.0,16.00,1.000000,0.922291,0.766920,0.613140,0.481325,0.372878,0.285512,0.216351,0.162500,0.121214,0.089998,0.066679,0.049430,0.036772,0.027536,0.020820,0.015941,5.0.0
L1_Z26,26,Fe,L1,200.0,16.00,1.000000,0.447725,0.164755,0.050765,0.018905,0.012357,0.010005,0.007718,0.005618,0.004032,0.002957,0.002250,0.001769,0.001419,0.001149,0.000933,0.000759,5.0.0
L2_Z26,26,Fe,L2,200.0,16.00,1.000000,0.351014,0.124760,0.037981,0.009543,0.001550,-0.000532,-0.001047,-0.001095,-0.000967,-0.000777,-0.000585,-0.000419,-0.000291,-0.000197,-0.000131,-0.000085,5.0.0
L3_Z26,26,Fe,L3,200.0,16.00,1.000000,0.346337,0.121238,0.035908,0.008532,0.001091,-0.000749,-0.001160,-0.001158,-0.001004,-0.000799,-0.000598,-0.000427,-0.000296,-0.000200,-0.000133,-0.000088,5.0.0
K_Z27,27,Co,K,200.0,16.00,1.000000,0.931004,0.786730,0.638159,0.507619,0.398340,0.308981,0.237208,0.180493,0.136350,0.102460,0.076754,0.057453,0.043083,0.032453,0.024625,0.018876,5.0.0
L1_Z27,27,Co,L1,200.0,16.00,1.000000,0.470010,0.182771,0.059494,0.021570,0.013150,0.010705,0.008545,0.006401,0.004659,0.003419,0.002586,0.002021,0.001619,0.001314,0.001074,0.000880,5.0.0
L2_Z27,27,Co,L2,200.0,16.00,1.000000,0.373316,0.140079,0.045824,0.012617,0.002544,-0.000251,-0.000996,-0.001133,-0.001049,-0.000877,-0.000684,-0.000507,-0.000362,-0.000252,-0.000172,-0.000116,5.0.0
L3_Z27,27,Co,L3,200.0,16.00,1.000000,0.368103,0.136053,0.043341,0.011342,0.001943,-0.000539,-0.001144,-0.001217,-0.001099,-0.000907,-0.000702,-0.000519,-0.000370,-0.000257,-0.000176,-0.000118,5.0.0
K_Z28,28,Ni,K,200.0,16.00,1.000000,0.938554,0.804843,0.661856,0.533086,0.423409,0.332420,0.258329,0.198970,0.152115,0.115627,0.087553,0.066174,0.050037,0.037940,0.028922,0.022222,5.0.0
L1_Z28,28,Ni,L1,200.0,16.00,1.000000,0.491647,0.200982,0.069063,0.024818,0.014077,0.011350,0.009328,0.007198,0.005335,0.003936,0.002966,0.002304,0.001839,0.001494,0.001225,0.001009,5.0.0
L2_Z28,28,Ni,L2,200.0,16.00,1.000000,0.395254,0.155668,0.054314,0.016211,0.003803,0.000137,-0.000900,-0.001147,-0.001116,-0.000969,-0.000782,-0.000599,-0.000441,-0.000315,-0.000221,-0.000152,5.0.0
L3_Z28,28,Ni,L3,200.0,16.00,1.000000,0.389471,0.151102,0.051379,0.014632,0.003030,-0.000240,-0.001095,-0.001257,-0.001182,-0.001009,-0.000807,-0.000615,-0.000451,-0.000322,-0.000226,-0.000156,5.0.0
K_Z29,29,Cu,K,200.0,16.00,1.000000,0.945054,0.821202,0.683985,0.557388,0.447717,0.355465,0.279375,0.217630,0.168257,0.129299,0.098923,0.075485,0.057561,0.043955,0.033689,0.025976,5.0.0
L1_Z29,29,Cu,L1,200.0,16.00,1.000000,0.510352,0.217369,0.078862,0.028863,0.015447,0.012069,0.010045,0.007928,0.005977,0.004441,0.003342,0.002582,0.002051,0.001665,0.001368,0.001132,5.0.0
L2_Z29,29,Cu,L2,200.0,16.00,1.000000,0.408655,0.165822,0.060708,0.019312,0.005035,0.000575,-0.000750,-0.001109,-0.001134,-0.001020,-0.000849,-0.000670,-0.000507,-0.000372,-0.000266,-0.000188,5.0.0
L3_Z29,29,Cu,L3,200.0,16.00,1.000000,0.401973,0.160569,0.057284,0.017417,0.004081,0.000104,-0.000995,-0.001246,-0.001215,-0.001070,-0.000881,-0.000690,-0.000520,-0.000380,-0.000272,-0.000192,5.0.0
K_Z30,30,Zn,K,200.0,16.00,1.000000,0.950809,0.836394,0.705292,0.581358,0.472104,0.378901,0.301034,0.237056,0.185254,0.143860,0.111173,0.085631,0.065852,0.050655,0.039053,0.030240,5.0.0
L1_Z30,30,Zn,L1,200.0,16.00,1.000000,0.533062,0.237666,0.090417,0.033194,0.016588,0.012582,0.010732,0.008769,0.006792,0.005124,0.003871,0.002982,0.002357,0.001906,0.001566,0.001299,5.0.0
L2_Z30,30,Zn,L2,200.0,16.00,1.000000,0.438066,0.187438,0.073022,0.024980,0.007235,0.001321,-0.000538,-0.001090,-0.001195,-0.001120,-0.000965,-0.000785,-0.000610,-0.000460,-0.000337,-0.000243,5.0.0
L3_Z30,30,Zn,L3,200.0,16.00,1.000000,0.431047,0.181677,0.069054,0.022660,0.006012,0.000697,-0.000865,-0.001274,-0.001306,-0.001190,-0.001010,-0.000814,-0.000630,-0.000472,-0.000346,-0.000250,5.0.0
M1_Z30,30,Zn,M1,200.0,16.00,1.000000,0.151422,0.010214,0.003188,0.004033,0.002557,0.001039,0.000323,0.000114,0.000090,0.000103,0.000109,0.000106,0.000097,0.000085,0.000073,0.000063,5.0.0
M2_Z30,30,Zn,M2,200.0,16.00,1.000000,0.114540,0.008823,0.003390,0.003067,0.001901,0.000857,0.000298,0.000069,-0.000009,-0.000030,-0.000031,-0.000026,-0.000020,-0.000015,-0.000011,-0.000008,5.0.0
M3_Z30,30,Zn,M3,200.0,16.00,1.000000,0.107227,0.008332,0.003346,0.002899,0.001741,0.000755,0.000242,0.000039,-0.000025,-0.000038,-0.000035,-0.000029,-0.000022,-0.000016,-0.000012,-0.000009,5.0.0
K_Z31,31,Ga,K,200.0,16.00,1.000000,0.955879,0.850330,0.725477,0.604574,0.496109,0.402273,0.322895,0.256891,0.202810,0.159077,0.124126,0.096485,0.074826,0.057990,0.044989,0.035007,5.0.0
L1_Z31,31,Ga,L1,200.0,16.00,1.000000,0.556351,0.258764,0.103088,0.038356,0.018041,0.013086,0.011339,0.009578,0.007638,0.005871,0.004470,0.003442,0.002710,0.002182,0.001789,0.001485,5.0.0
L2_Z31,31,Ga,L2,200.0,16.00,1.000000,0.466975,0.209379,0.086177,0.031417,0.009898,0.002285,-0.000232,-0.001028,-0.001233,-0.001206,-0.001074,-0.000899,-0.000719,-0.000555,-0.000417,-0.000307,5.0.0
