channel_id,z,element,shell,kappa,occupancy,file,n_rows,e0_min_keV,e0_max_keV,e_th_keV_bote,s_cert_min_A_inv,s_cert_max_A_inv,dataset_version
K_Z6,6,C,K,-1,2.0,F_K_Z6.json,22,30.0,400.0,0.29100,14.00,16.00,5.0.0
K_Z7,7,N,K,-1,2.0,F_K_Z7.json,23,30.0,400.0,0.40485,14.00,16.00,5.0.0
K_Z8,8,O,K,-1,2.0,F_K_Z8.json,24,30.0,400.0,0.53728,14.00,16.00,5.0.0
K_Z9,9,F,K,-1,2.0,F_K_Z9.json,26,30.0,400.0,0.68838,14.00,16.00,5.0.0
K_Z10,10,Ne,K,-1,2.0,F_K_Z10.json,25,30.0,400.0,0.85821,14.00,16.00,5.0.0
K_Z11,11,Na,K,-1,2.0,F_K_Z11.json,26,30.0,400.0,1.06401,14.00,16.00,5.0.0
K_Z12,12,Mg,K,-1,2.0,F_K_Z12.json,30,30.0,400.0,1.29451,14.00,16.00,5.0.0
K_Z13,13,Al,K,-1,2.0,F_K_Z13.json,31,30.0,400.0,1.54992,14.00,16.00,5.0.0
K_Z14,14,Si,K,-1,2.0,F_K_Z14.json,32,30.0,400.0,1.82850,14.00,16.00,5.0.0
K_Z15,15,P,K,-1,2.0,F_K_Z15.json,29,30.0,400.0,2.13045,14.00,16.00,5.0.0
K_Z16,16,S,K,-1,2.0,F_K_Z16.json,25,30.0,400.0,2.45590,14.00,16.00,5.0.0
K_Z17,17,Cl,K,-1,2.0,F_K_Z17.json,29,30.0,400.0,2.80494,14.00,16.00,5.0.0
K_Z18,18,Ar,K,-1,2.0,F_K_Z18.json,30,30.0,400.0,3.17764,14.00,16.00,5.0.0
K_Z19,19,K,K,-1,2.0,F_K_Z19.json,29,30.0,400.0,3.58338,14.00,16.00,5.0.0
K_Z20,20,Ca,K,-1,2.0,F_K_Z20.json,32,30.0,400.0,4.01514,14.00,16.00,5.0.0
L1_Z20,20,Ca,L1,-1,2.0,F_L1_Z20.json,22,30.0,400.0,0.43414,14.00,16.00,5.0.0
L2_Z20,20,Ca,L2,1,2.0,F_L2_Z20.json,22,30.0,400.0,0.35907,14.00,16.00,5.0.0
L3_Z20,20,Ca,L3,-2,4.0,F_L3_Z20.json,22,30.0,400.0,0.35519,14.00,16.00,5.0.0
K_Z21,21,Sc,K,-1,2.0,F_K_Z21.json,32,30.0,400.0,4.46595,14.00,16.00,5.0.0
L1_Z21,21,Sc,L1,-1,2.0,F_L1_Z21.json,23,30.0,400.0,0.49431,14.00,16.00,5.0.0
L2_Z21,21,Sc,L2,1,2.0,F_L2_Z21.json,23,30.0,400.0,0.41369,14.00,16.00,5.0.0
L3_Z21,21,Sc,L3,-2,4.0,F_L3_Z21.json,23,30.0,400.0,0.40882,14.00,16.00,5.0.0
K_Z22,22,Ti,K,-1,2.0,F_K_Z22.json,27,30.0,400.0,4.94073,14.00,16.00,5.0.0
L1_Z22,22,Ti,L1,-1,2.0,F_L1_Z22.json,24,30.0,400.0,0.55745,14.00,16.00,5.0.0
L2_Z22,22,Ti,L2,1,2.0,F_L2_Z22.json,24,30.0,400.0,0.47122,14.00,16.00,5.0.0
L3_Z22,22,Ti,L3,-2,4.0,F_L3_Z22.json,24,30.0,400.0,0.46518,14.00,16.00,5.0.0
K_Z23,23,V,K,-1,2.0,F_K_Z23.json,34,30.0,400.0,5.43970,14.00,16.00,5.0.0
L1_Z23,23,V,L1,-1,2.0,F_L1_Z23.json,23,30.0,400.0,0.62377,14.00,16.00,5.0.0
L2_Z23,23,V,L2,1,2.0,F_L2_Z23.json,23,30.0,400.0,0.53186,14.00,16.00,5.0.0
L3_Z23,23,V,L3,-2,4.0,F_L3_Z23.json,23,30.0,400.0,0.52446,14.00,16.00,5.0.0
K_Z24,24,Cr,K,-1,2.0,F_K_Z24.json,30,30.0,400.0,5.96304,14.00,16.00,5.0.0
L1_Z24,24,Cr,L1,-1,2.0,F_L1_Z24.json,26,30.0,400.0,0.69339,14.00,16.00,5.0.0
L2_Z24,24,Cr,L2,1,2.0,F_L2_Z24.json,24,30.0,400.0,0.59573,14.00,16.00,5.0.0
L3_Z24,24,Cr,L3,-2,4.0,F_L3_Z24.json,24,30.0,400.0,0.58673,14.00,16.00,5.0.0
K_Z25,25,Mn,K,-1,2.0,F_K_Z25.json,33,30.0,400.0,6.51094,14.00,16.00,5.0.0
L1_Z25,25,Mn,L1,-1,2.0,F_L1_Z25.json,27,30.0,400.0,0.76644,14.00,16.00,5.0.0
L2_Z25,25,Mn,L2,1,2.0,F_L2_Z25.json,25,30.0,400.0,0.66294,14.00,16.00,5.0.0
L3_Z25,25,Mn,L3,-2,4.0,F_L3_Z25.json,26,30.0,400.0,0.65210,14.00,16.00,5.0.0
K_Z26,26,Fe,K,-1,2.0,F_K_Z26.json,28,30.0,400.0,7.08348,14.00,16.00,5.0.0
L1_Z26,26,Fe,L1,-1,2.0,F_L1_Z26.json,26,30.0,400.0,0.84294,14.00,16.00,5.0.0
L2_Z26,26,Fe,L2,1,2.0,F_L2_Z26.json,24,30.0,400.0,0.73352,14.00,16.00,5.0.0
L3_Z26,26,Fe,L3,-2,4.0,F_L3_Z26.json,24,30.0,400.0,0.72058,14.00,16.00,5.0.0
K_Z27,27,Co,K,-1,2.0,F_K_Z27.json,37,30.0,400.0,7.68079,14.00,16.00,5.0.0
L1_Z27,27,Co,L1,-1,2.0,F_L1_Z27.json,27,30.0,400.0,0.92295,14.00,16.00,5.0.0
L2_Z27,27,Co,L2,1,2.0,F_L2_Z27.json,26,30.0,400.0,0.80754,14.00,16.00,5.0.0
L3_Z27,27,Co,L3,-2,4.0,F_L3_Z27.json,26,30.0,400.0,0.79219,14.00,16.00,5.0.0
K_Z28,28,Ni,K,-1,2.0,F_K_Z28.json,32,30.0,400.0,8.30301,14.00,16.00,5.0.0
L1_Z28,28,Ni,L1,-1,2.0,F_L1_Z28.json,26,30.0,400.0,1.00652,14.00,16.00,5.0.0
L2_Z28,28,Ni,L2,1,2.0,F_L2_Z28.json,23,30.0,400.0,0.88502,14.00,16.00,5.0.0
L3_Z28,28,Ni,L3,-2,4.0,F_L3_Z28.json,25,30.0,400.0,0.86696,14.00,16.00,5.0.0
K_Z29,29,Cu,K,-1,2.0,F_K_Z29.json,32,30.0,400.0,8.95025,14.00,16.00,5.0.0
L1_Z29,29,Cu,L1,-1,2.0,F_L1_Z29.json,29,30.0,400.0,1.09370,14.00,16.00,5.0.0
L2_Z29,29,Cu,L2,1,2.0,F_L2_Z29.json,28,30.0,400.0,0.96603,14.00,16.00,5.0.0
L3_Z29,29,Cu,L3,-2,4.0,F_L3_Z29.json,27,30.0,400.0,0.94489,14.00,16.00,5.0.0
K_Z30,30,Zn,K,-1,2.0,F_K_Z30.json,35,30.0,400.0,9.62267,14.00,16.00,5.0.0
L1_Z30,30,Zn,L1,-1,2.0,F_L1_Z30.json,27,30.0,400.0,1.18452,14.00,16.00,5.0.0
L2_Z30,30,Zn,L2,1,2.0,F_L2_Z30.json,25,30.0,400.0,1.05060,14.00,16.00,5.0.0
L3_Z30,30,Zn,L3,-2,4.0,F_L3_Z30.json,25,30.0,400.0,1.02600,14.00,16.00,5.0.0
M1_Z30,30,Zn,M1,-1,2.0,F_M1_Z30.json,22,30.0,400.0,0.13749,14.00,16.00,5.0.0
M2_Z30,30,Zn,M2,1,2.0,F_M2_Z30.json,22,30.0,400.0,0.09379,14.00,16.00,5.0.0
M3_Z30,30,Zn,M3,-2,4.0,F_M3_Z30.json,22,30.0,400.0,0.09059,14.00,16.00,5.0.0
K_Z31,31,Ga,K,-1,2.0,F_K_Z31.json,34,30.0,400.0,10.33130,14.00,16.00,5.0.0
L1_Z31,31,Ga,L1,-1,2.0,F_L1_Z31.json,30,30.0,400.0,1.29077,14.00,16.00,5.0.0
L2_Z31,31,Ga,L2,1,2.0,F_L2_Z31.json,29,30.0,400.0,1.15043,14.00,16.00,5.0.0
L3_Z31,31,Ga,L3,-2,4.0,F_L3_Z31.json,27,30.0,400.0,1.12196,14.00,16.00,5.0.0
M1_Z31,31,Ga,M1,-1,2.0,F_M1_Z31.json,22,30.0,400.0,0.15773,14.00,16.00,5.0.0
M2_Z31,31,Ga,M2,1,2.0,F_M2_Z31.json,22,30.0,400.0,0.11099,14.00,16.00,5.0.0
M3_Z31,31,Ga,M3,-2,4.0,F_M3_Z31.json,22,30.0,400.0,0.10720,14.00,16.00,5.0.0
K_Z32,32,Ge,K,-1,2.0,F_K_Z32.json,33,30.0,400.0,11.06660,14.00,16.00,5.0.0
L1_Z32,32,Ge,L1,-1,2.0,F_L1_Z32.json,27,30.0,400.0,1.40224,14.00,16.00,5.0.0
L2_Z32,32,Ge,L2,1,2.0,F_L2_Z32.json,24,30.0,400.0,1.25537,14.00,16.00,5.0.0
L3_Z32,32,Ge,L3,-2,4.0,F_L3_Z32.json,29,30.0,400.0,1.22261,14.00,16.00,5.0.0
M1_Z32,32,Ge,M1,-1,2.0,F_M1_Z32.json,22,30.0,400.0,0.17914,14.00,16.00,5.0.0
M2_Z32,32,Ge,M2,1,2.0,F_M2_Z32.json,22,30.0,400.0,0.12927,14.00,16.00,5.0.0
M3_Z32,32,Ge,M3,-2,4.0,F_M3_Z32.json,22,30.0,400.0,0.12480,14.00,16.00,5.0.0
K_Z33,33,As,K,-1,2.0,F_K_Z33.json,31,30.0,400.0,11.82910,14.00,16.00,5.0.0
L1_Z33,33,As,L1,-1,2.0,F_L1_Z33.json,27,30.0,400.0,1.51918,14.00,16.00,5.0.0
L2_Z33,33,As,L2,1,2.0,F_L2_Z33.json,28,30.0,400.0,1.36568,14.00,16.00,5.0.0
L3_Z33,33,As,L3,-2,4.0,F_L3_Z33.json,28,30.0,400.0,1.32813,14.00,16.00,5.0.0
M1_Z33,33,As,M1,-1,2.0,F_M1_Z33.json,22,30.0,400.0,0.20195,14.00,16.00,5.0.0
M2_Z33,33,As,M2,1,2.0,F_M2_Z33.json,22,30.0,400.0,0.14887,14.00,16.00,5.0.0
M3_Z33,33,As,M3,-2,4.0,F_M3_Z33.json,22,30.0,400.0,0.14363,14.00,16.00,5.0.0
