Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
6,C,K,0,100,10,1.269509,1.694e-04,0.000e+00,2.088e-04
6,C,K,0,100,30,1.218642,2.690e-04,0.000e+00,1.977e-04
6,C,K,0,100,100,1.189750,3.355e-04,0.000e+00,1.949e-04
6,C,K,0,200,10,1.269673,2.371e-04,0.000e+00,6.710e-05
6,C,K,0,200,30,1.221989,3.418e-04,0.000e+00,6.115e-05
6,C,K,0,200,100,1.191787,4.369e-04,0.000e+00,5.911e-05
6,C,K,0,50,10,1.271906,1.319e-04,0.000e+00,1.638e-04
6,C,K,0,50,30,1.221641,2.223e-04,0.000e+00,1.590e-04
6,C,K,0,50,100,1.196335,2.784e-04,0.000e+00,1.579e-04
6,C,K,50,150,10,1.267445,2.999e-04,0.000e+00,0.000e+00
6,C,K,50,150,30,1.218096,4.004e-04,0.000e+00,0.000e+00
6,C,K,50,150,100,1.182429,5.023e-04,0.000e+00,0.000e+00
7,N,K,0,100,10,1.203034,1.415e-04,0.000e+00,1.848e-04
7,N,K,0,100,30,1.163836,2.116e-04,0.000e+00,1.768e-04
7,N,K,0,100,100,1.132199,2.839e-04,0.000e+00,1.739e-04
7,N,K,0,200,10,1.204469,2.094e-04,0.000e+00,5.583e-05
7,N,K,0,200,30,1.165609,2.802e-04,0.000e+00,5.174e-05
7,N,K,0,200,100,1.129432,3.747e-04,0.000e+00,5.002e-05
7,N,K,0,50,10,1.206984,1.071e-04,0.000e+00,1.516e-04
7,N,K,0,50,30,1.167869,1.756e-04,0.000e+00,1.481e-04
7,N,K,0,50,100,1.139002,2.433e-04,0.000e+00,1.469e-04
7,N,K,50,150,10,1.200781,2.496e-04,0.000e+00,0.000e+00
7,N,K,50,150,30,1.161862,3.157e-04,0.000e+00,0.000e+00
7,N,K,50,150,100,1.123487,4.047e-04,0.000e+00,0.000e+00
8,O,K,0,100,10,1.162386,1.209e-04,0.000e+00,1.663e-04
8,O,K,0,100,30,1.130153,1.800e-04,0.000e+00,1.604e-04
8,O,K,0,100,100,1.096377,2.578e-04,0.000e+00,1.576e-04
8,O,K,0,200,10,1.164188,1.837e-04,0.000e+00,4.788e-05
8,O,K,0,200,30,1.132321,2.392e-04,0.000e+00,4.489e-05
8,O,K,0,200,100,1.094838,3.295e-04,0.000e+00,4.334e-05
8,O,K,0,50,10,1.166332,9.161e-05,0.000e+00,1.411e-04
8,O,K,0,50,30,1.134028,1.592e-04,0.000e+00,1.384e-04
8,O,K,0,50,100,1.102402,2.250e-04,0.000e+00,1.373e-04
8,O,K,50,150,10,1.160441,2.088e-04,0.000e+00,0.000e+00
8,O,K,50,150,30,1.128707,2.534e-04,0.000e+00,0.000e+00
8,O,K,50,150,100,1.089986,3.498e-04,0.000e+00,0.000e+00
9,F,K,0,100,10,1.134434,1.053e-04,0.000e+00,1.523e-04
9,F,K,0,100,30,1.106640,1.540e-04,0.000e+00,1.477e-04
9,F,K,0,100,100,1.071334,2.234e-04,0.000e+00,1.451e-04
9,F,K,0,200,10,1.136428,1.612e-04,0.000e+00,4.220e-05
9,F,K,0,200,30,1.109003,2.041e-04,0.000e+00,3.992e-05
9,F,K,0,200,100,1.070766,2.849e-04,0.000e+00,3.853e-05
9,F,K,0,50,10,1.137431,8.042e-05,0.000e+00,1.326e-04
9,F,K,0,50,30,1.109552,1.393e-04,0.000e+00,1.305e-04
9,F,K,0,50,100,1.075968,2.009e-04,0.000e+00,1.294e-04
9,F,K,50,150,10,1.133493,1.773e-04,0.000e+00,0.000e+00
9,F,K,50,150,30,1.106137,2.094e-04,0.000e+00,0.000e+00
9,F,K,50,150,100,1.067053,2.916e-04,0.000e+00,0.000e+00
10,Ne,K,0,100,10,1.112417,9.376e-05,0.000e+00,1.409e-04
10,Ne,K,0,100,30,1.087661,1.324e-04,0.000e+00,1.372e-04
10,Ne,K,0,100,100,1.051475,2.177e-04,0.000e+00,1.349e-04
10,Ne,K,0,200,10,1.115065,1.425e-04,0.000e+00,3.786e-05
10,Ne,K,0,200,30,1.090626,1.766e-04,0.000e+00,3.606e-05
10,Ne,K,0,200,100,1.052083,2.613e-04,0.000e+00,3.483e-05
10,Ne,K,0,50,10,1.113398,7.240e-05,0.000e+00,1.254e-04
10,Ne,K,0,50,30,1.088601,1.202e-04,0.000e+00,1.238e-04
10,Ne,K,0,50,100,1.053839,1.964e-04,0.000e+00,1.227e-04
10,Ne,K,50,150,10,1.113735,1.534e-04,0.000e+00,0.000e+00
10,Ne,K,50,150,30,1.089244,1.791e-04,0.000e+00,0.000e+00
